STT	Tên Công ty	Website	Số Đề tài	Số NV	Tuyển dụng	Địa chỉ
87	"Phòng Thí Nghiệm Công nghệ Mạng và Truyền Thông
Phòng Thí Nghiệm Công nghệ Mạng và Truyền thông"	Website	1	10	10 SV	Phòng 901 Nhà B1 Viện Công nghệ Thông tin và Truyền thông
88	"TOVI
Công ty cổ phần công nghệ TOVI Việt Nam"	Website	1	10	5 SV	82 Dịch Vọng Hậu, Cầu Giấy, Hà Nội
89	"Navistar
Công Ty Cổ Phần Nghiên Cứu Và Phát Triển Công Nghệ Navistar"	Website	1	10	30 SV	Tầng 5, tòa nhà số 1, ngõ 120 đường Trường Chinh, Phường Phương Mai, Quận Đống đa, Thành phố Hà Nội
90	"công ty TNHH mMenu
Công ty TNHH mMenu"	Website	5	10	10 SV	PB15, Tầng 2, Lô A1, Tòa nhà Indochina Plaza, Hà Nội, Số 241 đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội
91	"MSO Lab
Phòng thí nghiệm nghiên cứu Mô hình hóa, mô phỏng và tối ưu hóa"	Website	27	6	0 SV	902 B1
92	"Lab ISE
Lab Intelligent Software Engineering - BK AI Center"	Website	2	5	4 SV	Tầng 10, Toà B1, ĐH BK HN
93	"NLP lab
NLP Lab"	Website	2	5	8 SV	Tầng 10 B1, ĐHBKHN
94	"Lab Khoa học dữ liệu
Lab Khoa học dữ liệu (nhóm thầy Trung)"	Website	7	5	0 SV	1002 B1
95	"CDCT-HUST
Trung tâm Công nghệ Dữ liệu và Tính toán, Trường Đại học Bách Khoa Hà Nội"	Website	11	5	10 SV	Phòng 609, thư viện Tạ Quang Bửu, Đại học Bách Khoa Hà Nội
96	"TRUNG TÂM CÔNG NGHỆ VÀ GIẢI PHÁP CHUYỂN ĐỔI SỐ TRONG GIÁO DỤC
TRUNG TÂM CÔNG NGHỆ VÀ GIẢI PHÁP CHUYỂN ĐỔI SỐ TRONG GIÁO DỤC"	Website	2	2	10 SV	Văn phòng: tầng 9, tòa nhà B1, Trường Đại học Bách Khoa Hà Nội
97	"Deepcare Vietnam JSC
Công ty cổ phần Deepcare Việt Nam"	Website	0	0	0 SV	
98	"AIoTLab
Phòng nghiên cứu trí tuệ nhân tạo và mạng Internet vạn vật"	Website	3	0	0 SV	Tầng 10 nhà B1, Đại học Bách khoa Hà Nội
99	"TECHCOMBANK
NGÂN HÀNG TMCP KỸ THƯƠNG VIỆT NAM"	Website	0	0	0 SV	191 BÀ TRIỆU, LÊ ĐẠI HÀNH, HAI BÀ TRƯNG, HÀ NỘI
